ID	ID_MAXIMO	latitude	longitude	Night_shift	Type_halte	Cleaning_time_20	Cleaning_time_code	Cleaning_time_abri
311	HLS0216	52.057933	4.29354	0	Bushalte	20	20	13
312	HLS0180	52.054023	4.29642	0	Bushalte	20	20	13
313	HLS0135	52.051564	4.298769	0	Bushalte	20	20	20
314	HLS0134	52.051124	4.298853	0	Bushalte	20	20	20
315	HLT3601	52.048140641604	4.2847159887493	0	Bushalte	20	15	20
316	HLT3439	52.0512774337604	4.28087620553163	0	Bushalte	20	15	13
317	HLT3438	52.0509160884693	4.28091817078335	0	Bushalte	20	15	20
318	HLT3436	52.0491489091486	4.27935778947973	0	Bushalte	20	15	20
319	HLT3437	52.0496709143165	4.27931534507729	0	Bushalte	20	15	20
320	HLT3413	52.0500461641258	4.27446096207117	0	Bushalte	40	40	50
321	HLT3414	52.0501525582492	4.27493207188515	0	Bushalte	30	30	35
322	HLT3411	52.0477124666053	4.26869833451072	0	Bushalte	20	15	20
323	HLT3412	52.0475936956631	4.26868762699302	0	Bushalte	20	15	20
324	HLT3323	52.0453663001048	4.26385473215324	0	Bushalte	20	15	20
325	HLT3322	52.0451257772462	4.26367949667824	0	Bushalte	20	15	13
326	HLT3320	52.0429242712834	4.25955067643816	0	Bushalte	20	15	20
327	HLT3321	52.0435738241702	4.26096666202824	0	Bushalte	20	15	20
328	HLT3405	52.053112189457	4.27089447410194	0	Bushalte	20	15	20
329	HLT3406	52.0526932210473	4.27159931046594	0	Bushalte	20	15	20
330	HLT3319	52.0411331030516	4.25645385688362	0	Bushalte	20	15	13
331	HLT3318	52.0405391486485	4.25564423852357	0	Bushalte	20	15	20
332	HLT3361	52.0382738684478	4.25138391005665	0	Bushalte	20	15	13
333	HLT3362	52.0382394648354	4.25167428443517	0	Bushalte	20	15	20
334	HLT3383	52.040893	4.247341	0	Bushalte	20	20	13
335	HLT3831	52.0528976293673	4.31707574907799	0	Bushalte	20	15	20
336	HLT3832	52.0530424479811	4.31718163910084	0	Bushalte	20	15	20
337	HLT3830	52.0521382111461	4.31314795195388	0	Bushalte	20	15	20
338	HLT3829	52.0519980239806	4.3130338564257	0	Bushalte	20	15	20
339	HLT3628	52.0549794250182	4.30970802487795	0	Bushalte	20	15	20
340	HLT3629	52.05557647248	4.3069375086602	0	Bushalte	20	15	13
341	HLT3120	52.0620224434907	4.28386639706819	0	Bushalte	20	15	13
342	HLT3119	52.0621057744916	4.28369421306727	0	Bushalte	20	15	13
343	HLT3122	52.0634384554823	4.28896101903139	0	Bushalte	20	18	20
344	HLT3125	52.061586	4.290986	0	Bushalte	20	20	13
345	HLT3126	52.062026	4.290975	0	Bushalte	20	20	13
346	HLT3121	52.0635550932196	4.28893585765551	0	Bushalte	20	18	20
347	HLT3010	52.0650347876347	4.29303676506319	0	Bushalte	20	15	20
348	HLT3009	52.0647999584986	4.2922575271077	0	Bushalte	20	15	20
349	HLS0209	52.059769	4.293086	0	Bushalte	20	20	13
350	HLS0208	52.059989	4.293286	0	Bushalte	20	20	13
351	HLS0159	52.061091	4.297677	0	Bushalte	20	20	20
352	HLS0160	52.061056	4.297795	0	Bushalte	20	20	20
353	HLS0145	52.062576	4.300864	0	Bushalte	30	30	35
354	HLS0153	52.069387	4.30153	0	Bushalte	20	20	13
355	HLS0154	52.069495	4.301586	0	Bushalte	20	20	13
356	HLT2909	52.0695292616339	4.29988572911518	0	Bushalte	20	15	20
357	HLT2910	52.0696457209712	4.30018187767599	0	Bushalte	20	15	20
358	HLT2914	52.0664445261655	4.29629262165418	0	Bushalte	20	15	13
359	HLT2913	52.0669020617042	4.29664274776856	0	Bushalte	20	15	20
360	HLT3220	52.059629346447	4.27930098012377	0	Bushalte	20	15	20
361	HLT3407	52.0553528654491	4.2739476630964	0	Bushalte	20	15	20
362	HLT3409	52.0536654418527	4.27420511612319	0	Bushalte	20	15	20
363	HLT3410	52.0533970975609	4.27510786782432	0	Bushalte	20	15	20
364	HLT3408	52.0554122317093	4.27463851350802	0	Bushalte	20	15	20
365	HLT3219	52.0591470110401	4.27895473356375	0	Bushalte	20	15	20
366	HLS0032	52.019171	4.34982	0	Bushalte	30	30	21
367	HLS0026	52.023356	4.35255	0	Bushalte	20	20	13
368	HLS0027	52.023322	4.352697	0	Bushalte	20	20	13
369	HLS0018	52.024521	4.355161	0	Bushalte	20	20	13
370	HLS0019	52.024477	4.355293	0	Bushalte	20	20	13
371	HLS0048	52.020709	4.359241	0	Bushalte	20	20	13
372	HLS0047	52.020853	4.359237	0	Bushalte	20	20	13
373	HLS0013	52.020408	4.355605	0	Bushalte	30	30	21
374	HLS0070	52.019034	4.361901	0	Bushalte	20	20	13
375	HLS0069	52.019169	4.361957	0	Bushalte	20	20	13
376	HLS0023	52.016346	4.365037	0	Bushalte	20	20	13
