ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
HLT0807,20,1,REI-D109,6,Tesselsestraat 43,NL:Q:32000807,0,4.26229,52.090439,196,0,10
HLT0808,23,1,REI-D109,7,Tesselsestraat 27,NL:Q:32000808,0,4.26232924694836,52.0903021773036,197,1,20
HLT0904,17,1,REI-D109,8,Frankenslag 2,NL:Q:32000904,0,4.28151634258156,52.0991939850492,198,1,20
HLT0905,16,1,REI-D109,9,Frankenslag 2,NL:Q:32000905,0,4.28133152309854,52.0989761989589,199,1,20
HLT0908,12,1,REI-D109,10,Statenlaan 31,NL:Q:32000908,0,4.276434,52.092659,200,0,10
HLT0910,14,1,REI-D109,11,Prins Mauritsplein 24,NL:Q:32000910,0,4.2779008915119,52.0953394429413,201,1,20
HLT0911,15,1,REI-D109,12,Prins Mauritsplein 24,NL:Q:32000911,0,4.27817729560765,52.0954738560172,202,1,20
HLT0912,13,1,REI-D109,13,Statenlaan 36,NL:Q:32000912,0,4.276237,52.09236,203,0,10
HLT0919,7,1,REI-D109,14,Eisenhowerlaan 73,NL:Q:32000919,0,4.280661,52.093444,204,0,10
HLT0920,6,1,REI-D109,15,Eisenhowerlaan 128,NL:Q:32000920,0,4.280671,52.093615,205,0,10
HLT0930,4,1,REI-D109,16,Cornelis de Wittlaan 43,NL:Q:32000930,0,4.277596,52.087573,206,1,20
HLT0932,5,1,REI-D109,17,Cornelis de Wittlaan 684,NL:Q:32000932,0,4.274044,52.086047,207,1,20
HLT0944,8,1,REI-D109,18,Eisenhowerlaan 50,NL:Q:32000944,0,4.278274,52.090842,208,0,10
HLT1106,2,1,REI-D109,19,Cornelis de Wittlaan 41,NL:Q:32001106,0,4.27946560860845,52.0883699908259,209,1,20
HLT1107,1,1,REI-D109,20,Stadhouderslaan 37,NL:Q:32001107,0,4.2801918694878,52.0884045222757,210,0,10
HLT1125,3,1,REI-D109,21,Aert vd Goesstraat 64,NL:Q:32001125,0,4.27800489877421,52.0875793139329,211,1,20
HLT0510,7,1,REI-D110,1,Nassauplein 25,NL:Q:32000510,0,4.305635,52.090243,212,1,20
HLT0511,8,1,REI-D110,2,Nassauplein 5,NL:Q:32000511,0,4.305544,52.089765,213,1,20
HLT0515,6,1,REI-D110,3,Javastraat 2C,NL:Q:32000515,0,4.301436,52.087085,214,1,20
HLT0516,9,1,REI-D110,4,Javastraat 2C,NL:Q:32000516,0,4.302489,52.087598,215,0,10
HLT0718,3,1,REI-D110,5,Westduinweg 1439,NL:Q:32000718,0,4.27373983210292,52.1009544842491,216,1,20
HLT0719,4,1,REI-D110,6,Westduinweg 193,NL:Q:32000719,0,4.27497905453913,52.101621233843,217,1,20
HLT0731,1,1,REI-D110,7,Westduinweg 73H,NL:Q:32000731,0,4.26831401662161,52.0938865902528,218,1,20
