,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
278,473,HLT2604,2601,Centraal Station,NL:Q:32002604,18497.0,1977.0,7213,1727740800000,899,17,17,1709251200000,14811.0,2017-09-01 00:00:00,,2.0,1.0,1.0,1,1,1,1,0,11110,"% HTM-overstappers, Treinstation <250m",,Instappers/inwoners ochtendspits,,3034.0,2560.571429,0.844,52.0805050567251,4.32328502360524
279,474,HLT2608,2605,Centraal Station,NL:Q:32002608,25237.0,1997.0,8023,1709251200000,1537,17,17,1709251200000,21618.0,1934-04-03 00:00:00,,2.0,1.0,1.0,1,1,1,1,0,11110,"% HTM-overstappers, Treinstation <250m",,Supermarkt + bibliotheek <200m,,3222.0,2526.52381,0.7841,52.0811639151652,4.32472497006102
280,475,HLT2614,2609,Centraal Station,,4527.0,338.0,1577,1730419200000,319,8,8,1733011200000,5955.0,20-22-23-26-29-39,,2.0,1.0,1.0,1,1,1,1,0,11110,"% HTM-overstappers, Treinstation <250m",,Supermarkt + bibliotheek <200m,,3802.0,900.523809,0.2369,52.0805047495474,4.32464463377823
281,476,HLT2632,2631,Prins Clauslaan,NL:Q:32002632,168.0,27.0,111,1730419200000,58,8,8,1709251200000,177.0,24-36,3.0,,,3.0,3,0,0,0,0,30000,,,,,3739.0,9.571429,0.0026,52.0834327104532,4.33092356249137
282,477,HLT2636,2635,Laan van Nieuw Oost Indid,NL:Q:32002636,571.0,102.0,140,1706745600000,39,12,12,1709251200000,399.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,4755.0,65.714286,0.0138,52.0855605236657,4.33575583046536
283,478,HLT2640,2639,Spaarwaterstraat,NL:Q:32002640,215.0,47.0,248,1711929600000,76,8,8,1711929600000,226.0,24,3.0,,,3.0,3,0,0,0,0,30000,,,,,5773.0,46.857143,0.0081,52.0878914018656,4.34053603045142
284,479,HLT2646,2645,Ternoot,NL:Q:32002646,1338.0,235.0,348,1704067200000,68,17,17,1704067200000,879.0,2025-06-02 00:00:00,,2.0,,2.0,2,0,0,0,0,20000,,,,,3946.0,69.238095,0.0175,52.0822469811873,4.3334333907481
285,480,HLT2650,2649,Juliana van Stolberglaan,NL:Q:32002650,360.0,77.0,157,1733011200000,31,18,18,1719792000000,366.0,23,3.0,,,3.0,3,0,0,0,0,30000,,,,,6634.0,84.285714,0.0127,52.0842494031283,4.33930181540872
286,481,HLT2659,2658,Station Laan van NOI,NL:Q:32002659,1541.0,310.0,1191,1717200000000,217,8,8,1709251200000,1418.0,23,,2.0,,2.0,2,1,0,1,0,21010,"% HTM-overstappers, Treinstation <250m, P&R <100m",,Instappers/inwoners ochtendspits,,4153.0,298.0,0.0718,52.0794410241374,4.3450887520639
287,482,HLT2708,2707,Rijswijkseplein,NL:Q:32002708,263.0,25.0,464,1725148800000,164,7,7,1725148800000,279.0,1-9-15-16-17,3.0,,,3.0,3,0,0,0,0,30000,,,,,6472.0,35.857143,0.0055,52.0731929598394,4.3250757524626
288,483,HLT2712,2711,Weteringplein,NL:Q:32002712,516.0,52.0,888,1717200000000,124,19,19,1717200000000,467.0,1-9-15-16-17,3.0,,,3.0,3,0,0,0,0,30000,,,,,4291.0,74.52381,0.0174,52.0754389175972,4.32826349303679
289,484,HLT2717,2715,Rijswijkseplein,NL:Q:32002717,284.0,35.0,219,1704067200000,55,8,8,1704067200000,180.0,12,3.0,,,3.0,3,0,0,0,0,30000,,,,,7435.0,32.714286,0.0044,52.0723525477152,4.32348534168205
290,485,HLT2731,2719,Station Hollands Spoor,NL:Q:32002731,20010.0,1483.0,3629,1717200000000,549,8,8,1709251200000,15720.0,1-11-12-16,,2.0,1.0,1.0,1,1,0,0,0,11000,"% HTM-overstappers, Treinstation <250m",,,,8252.0,2164.333333,0.2623,52.070953703854,4.32342301988282
